Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,22u/25V,C45783
"C2, C5",0402,2,100n/16V,C1525
C4,0402,1,1u/25V,C52923
"D1, D2",D_SOD-882D,2,H3V3L10B,C20615781
"D10, D9",0805,2,yellow_heater-energized,C2296
"D11, D3, D8",D_SOD-882D,3,H5VL10B,C7420372
D4,D_SOD-323,1,1N5819WS,C191023
"D5, D6, D7",D_SMA,3,SS34,C8678
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
J2,PinHeader_2x15_P2.54mm_Horizontal,1,Conn_02x15_Odd_Even,C18198029
"R1, R2",0402,2,5.1k,C25905
R10,0402,1,2.2k,C25879
R3,0402,1,49.9k,C25897
R4,0402,1,27k,C25771
"R5, R7",0402,2,2.4k,C25882
R6,0402,1,150,C25082
R8,0402,1,330,C25104
R9,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,Heater-trace_16R_length-6m_width-0.2mm,
SW1,SW_DPDT_shou-han_MST-22D18G2-BD-125,1,select-heater-power-source,C20613165
TH1,0402,1,100k_NCP15WF104F03RC,C77130
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,28,TestPoint_Small,
TP2,TestPoint_Pad_D1.0mm,1,USB_CC1,
TP3,TestPoint_Pad_D1.0mm,1,USB_CC2,
TP4,TestPoint_Pad_D1.0mm,1,USB_DN,
TP5,TestPoint_Pad_D1.0mm,1,USB_DP,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358DR2G,C7950
U2,SOT-23-5,1,TP5709S5,C2999117
U3,SOT-23-3,1,XC6206P332MR-G,XC6206P332MR-G
U4,SO-4_4.4x4.3mm_P2.54mm,1,GAQY212GSX,C19271988
