Designator,Mid X,Mid Y,Rotation,Layer
C1,110.7,-82.1,180.0,top
C2,106.87,-97.24,90.0,top
C3,114.1,-82.12,180.0,top
C4,112.57,-86.98,0.0,top
C5,126.1,-92.75,180.0,top
D1,104.2075,-81.75,180.0,top
D10,88.02,-86.58,0.0,top
D11,90.7,-86.1,180.0,top
D2,100.79,-81.76,0.0,top
D3,125.96,-89.2775,90.0,top
D4,115.9,-90.2,0.0,top
D5,102.91,-85.9575,90.0,top
D6,108.1525,-85.67,0.0,top
D7,121.5,-90.7,0.0,top
D8,90.7,-87.3,180.0,top
D9,88.02,-88.49,180.0,top
J1,131.32,-86.5,90.0,top
J2,115.0,-78.07,90.0,top
R1,126.09,-87.45,270.0,top
R10,92.6,-86.7,180.0,top
R2,126.09,-85.59,270.0,top
R3,119.73,-97.3,270.0,top
R4,105.7,-94.23,90.0,top
R5,104.73,-94.22,270.0,top
R6,107.83,-97.25,270.0,top
R7,105.67,-88.86,0.0,top
R8,105.67,-87.92,0.0,top
SW1,120.6,-84.932724,0.0,top
TH1,117.64,-99.35,0.0,top
U1,123.92,-95.935,270.0,top
U2,104.71,-97.24,90.0,top
U3,113.77,-84.82,180.0,top
U4,110.45,-89.85,0.0,top
